genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene1702,3,1,47,0,5,3,11,1,0,0,0,0,0,0,0,0,2553,3,0,0
gene1703,0,3,1,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1704,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
gene1705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,0,0
gene1706,9,0,0,0,0,0,0,0,8,678,0,0,0,0,0,1,0,0,1,0
gene1707,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1
gene1708,0,0,0,0,0,0,0,0,0,0,3,5,5,2,1,1,2,1,1,2
gene1709,0,0,0,0,2,1,2,1,0,0,0,0,0,3,2,0,0,66,0,452
gene1710,290,0,131,0,0,9,18,40,4,56,728,0,1319,850,14,2590,4420,71,341,189
gene1711,1,1,8,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0
gene1712,33,601,140,0,1,35,28,7,29,27,1,1,0,1,1,1,2,0,2,0
gene1713,0,1,0,0,0,2,4,0,1,1,0,2,1,0,2,0,0,0,0,0
gene1714,0,8,0,0,1,1,0,1,3,8,0,0,0,0,0,1,0,0,0,0
gene1715,0,0,16,0,0,6,0,8,1,1,0,1,1,1,0,0,0,1,0,0
gene1716,1,0,0,0,2,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0
gene1717,32,31,6,10,0,20,121,14,9,1,0,1,1,0,0,0,0,6,0,0
gene1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1719,1046,53,0,575,53871,672,2,137170,0,0,0,0,0,0,0,0,0,0,0,0
gene1720,2,116,0,2342,0,39,41,0,0,51,0,0,0,0,1,0,0,0,0,0
gene1721,0,0,0,0,0,0,0,1,1,1,8,0,3,0,0,0,0,130,0,0
gene1722,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
gene1723,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
gene1725,0,0,0,0,0,0,10,2,0,0,12,0,0,2,4,0,12,5,19,0
gene1726,3451,1582,3,237,31,1525,0,15965,6356,21,0,0,0,0,0,0,0,1,0,0
gene1727,19,0,0,0,0,0,786,43,16,170,5324,42,154,3095,4044,4265,2,125,53,821
gene1728,266,497,0,1,12,0,7160,0,1899,585,0,0,35687,0,0,132,788,0,0,679
gene1729,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gene1730,0,2,0,0,0,14,0,0,5,5,0,0,0,0,0,0,0,0,0,0
gene1731,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2,1,0,1
gene1732,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0
gene1733,6,0,0,21,0,45,0,3,1,68,0,0,114,0,0,0,4,0,27,8
gene1734,0,3,0,66,1,11,0,17,1,1,0,2,5,6,2,7,0,0,0,10
gene1735,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,7,17,7
gene1736,9,5,107,161,7160,2748,0,797,14306,455,614,451,18,30,99,1,2930,0,144,0
gene1737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
gene1738,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
gene1739,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
gene1740,0,0,0,0,12,8,0,0,0,95,0,0,0,0,0,0,0,0,0,0
gene1741,0,50,34,107,4,95,132,0,0,4,1,0,1,0,0,0,0,0,0,0
gene1742,40,24,3,1,10,45,1,2,23,2,3,0,0,0,0,0,23794,0,0,0
gene1743,8,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1744,1,1,6,0,0,0,0,0,0,1,18462,22800,0,721,89073,0,0,0,93,0
gene1745,9,24,5,5,24,37,5,45,29,30,0,0,0,0,0,1,0,0,0,0
gene1746,0,0,9,0,92,1,0,3,45,0,1,0,0,0,0,0,0,0,1,0
gene1747,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
gene1748,1,1,0,2,0,0,0,0,0,0,0,265,66,0,105,1310,145,3037,79,284
gene1749,0,0,0,0,0,0,0,0,0,0,0,402,577458,0,0,0,13,70,0,0
gene1750,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,9,2
gene1751,0,28,3,0,49,2,2,0,1,1,0,0,0,0,0,230,0,0,311,0
gene1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gene1753,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene1754,0,8207,0,6927,45845,0,659,0,4,0,0,0,0,0,0,0,0,0,0,0
gene1755,2,2,0,475,0,1,1425,0,0,6652,0,0,89,110,23,7,177,373,0,0
gene1756,100,2,64,126,0,0,0,84,0,0,1,1,4,1,2,5,1,1,7,7
gene1757,0,0,24,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0
gene1758,1,0,0,0,0,0,1,0,0,1,0,0,0,589595,0,0,0,0,0,0
gene1759,30,15,42,23,24,32,46,15,4,4,0,0,0,0,0,0,0,0,0,0
gene1760,0,0,0,0,0,0,0,0,0,0,3,19,23,12,14,2,0,4,6,5
gene1761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene1762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1763,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene1764,0,0,2,0,0,0,257,917,8990,12478,77,292,1,1,0,462,390,279,919,0
gene1765,3,45,118,0,4,20,127,5,53,12,0,0,0,0,0,0,0,0,1,0
gene1766,0,0,0,0,0,0,0,0,0,0,71,0,0,5,2,0,0,0,0,0
gene1767,2374,36,0,0,0,0,6343,25,2755,28,0,0,0,0,0,0,0,0,0,0
gene1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
gene1770,0,1639,987,0,7735,8982,0,0,108,38,0,0,0,0,0,1,0,0,0,0
gene1771,0,0,0,1,0,0,0,0,0,1,1550,4452,2941,0,107,134,1,0,0,0
gene1772,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2
gene1773,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
gene1774,2,0,0,0,0,0,1,0,0,3,0,37,0,0,13,0,0,0,34,0
gene1775,9,0,1,1,0,0,4,1,2,0,29,110,0,0,0,0,2,3,4,0
gene1776,34,0,8,0,0,0,6,57,129,2,1,0,0,0,0,0,0,0,0,0
gene1777,1,1,1,1,2,2,0,1,7,0,0,0,0,9,0,0,2,5,1,0
gene1778,17,13,8,1,8,22,1,1,3,0,0,0,0,0,1,0,0,0,0,1
gene1779,0,0,0,101,0,0,6,7,502,0,0,0,0,0,0,0,112,0,0,0
gene1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1781,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,23,0,2
gene1782,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene1783,50,27,0,0,42,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0
gene1784,35,24,0,2,2,37,2,0,0,0,0,0,1,0,0,0,0,0,0,0
gene1785,0,0,0,1,0,1,0,1,0,1,1,0,0,12,0,8,1,0,1,4
gene1786,0,0,0,0,0,0,0,0,0,1,0,0,0,4471,0,0,0,0,676,0
gene1787,0,0,0,1,0,0,0,0,0,0,4,1,5,4,3,2,10,0,2,4
gene1788,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene1789,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
gene1790,0,0,3,1,11560,2,2859,0,0,604,2252,0,16498,599,1,41113,0,54,1659,6172
gene1791,9,30,2,4,0,11,5,1,1,3,0,0,0,0,0,0,0,0,0,0
gene1792,1,0,1,1,0,0,1,0,0,0,16,7,0,0,2,0,0,0,14,5
gene1793,0,11,8,4,1,0,9,0,0,10,0,0,0,6,1,23,60,2,8,0
gene1794,0,0,0,548855,0,1,0,0,0,844,0,0,0,1,1,6,1,1,0,1
gene1795,20,8,2,1,4,4,4,1,7,3,1,3,1,0,3,0,1,6,0,7
gene1796,10,3,0,1,0,0,0,0,0,6308,0,0,0,28,8,0,0,2,0,0
gene1797,2,0,50,0,0,0,28,0,0,138,2,0,12,10,16,0,0,0,1,0
gene1798,6164,232,0,14,255,101,7,3,5,18,0,0,0,0,0,0,0,0,1,0
gene1799,0,5,0,6,2,0,1,0,6,2,0,0,0,0,0,1,0,1,0,0
gene1800,572,85,428,1007,4622,1994,312,352,560,685,0,0,0,0,0,0,0,0,0,0
gene1801,0,0,0,0,0,0,0,0,0,0,43,13331,0,393,2930,319,0,0,22,0
gene1802,0,0,0,0,0,1,0,0,0,0,48,11,0,12,0,4,8,2,15,7
gene1803,0,0,6,0,1685,0,0,0,0,0,1956,12,10793,0,64,5555,626,197,0,5464
gene1804,0,0,0,0,0,0,0,0,0,0,5,7,4,3,0,0,1,0,2,2
gene1805,0,0,39346,0,0,59442,9,0,0,0,10,3,44,0,3,3,22,4,5,10
gene1806,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1808,3,2,10,3,2,0,32,67,0,2,0,50,21,12,7,470,71,36,86,17
gene1809,0,15,1,1,14,2,0,13,0,1,12,0,8,0,0,0,1,4,10,18
gene1810,0,0,0,11,0,0,4,0,54,0,0,0,0,0,0,0,0,0,2,0
gene1811,0,24,427,0,395,0,0,0,0,0,21,2,24,14,115,17,74,3,65,72
gene1812,0,1,0,0,1,0,0,0,0,1,631,12,0,4,162,0,0,67,126,4
gene1813,17,29,36,12,58,12,5,18,5,5,0,1,0,0,0,0,0,0,0,0
gene1814,7,1,0,43,5,0,9,1,0,1562,1,0,0,1,1,1,3,1,1,1
gene1815,0,0,28,0,208,0,489,4,0,149,206,2,85,7,7,0,0,1,2,0
gene1816,5,0,2,8,0,0,5,0,27,1,10,2378,0,0,0,0,0,0,34,0
gene1817,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
gene1818,0,3,173,44,0,0,1,1,15,11,0,0,8406,94,2413,1474,0,0,1164,2
gene1819,1,311,2,3936,0,65,26,5,12,0,0,1,1,0,2,0,0,1,4,0
gene1820,25,0,0,0,47225,1,0,405,0,0,13965,0,0,0,0,2,0,0,173,1
gene1821,0,4,2628,0,3,0,345,31114,0,0,0,360632,0,3,0,0,0,414,0,0
gene1822,2,93,0,0,19,0,0,0,0,25,6,4,2,0,3,0,2,0,3,1
gene1823,1,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
gene1824,0,0,0,2,0,0,0,1,0,0,0,614,300,237,412,0,25,330,1,179
gene1825,2450,0,0,0,0,0,0,897,0,0,0,0,3,1,0,0,4,0,5,1
gene1826,3,1,3,1,1,3,1,1,5,0,91,7,1230,256,95,17,504,2740,747,0
gene1827,1,3,3,1,0,0,0,1,1,4,39,17,11,8,15,10,9,3,16,11
gene1828,0,0,0,0,0,0,0,0,0,0,3123,4,4,0,41,5899,0,0,4,0
gene1829,0,0,0,0,0,0,0,0,0,0,17699,4,0,0,0,0,0,37337,1992,600
gene1830,0,0,29,348,2812,0,98,0,0,0,1,0,0,0,1,0,0,0,0,0
gene1831,0,293,180,26229,20049,0,0,0,2,28486,5,300,4,82,0,231,398,5,0,25
gene1832,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
gene1833,0,42,67,1,1,5,85,0,3,0,6,10,2,2,0,3,1,7,0,28
gene1834,0,2,0,0,0,5523,0,0,16826,0,0,0,56589,750,0,0,920,0,0,0
gene1835,0,0,0,0,1,0,0,0,0,0,374,0,4111,1,1106,63596,5354,519,0,19570
gene1836,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,5,5,2,1,5
gene1837,142492,81731,55,3568,0,30018,0,17778,32,2045,28,0,0,0,0,0,0,0,0,11
gene1838,5,13,14,10,26,4,13,1,8,0,0,0,0,0,2786,0,0,30,0,0
gene1839,1,0,2,1,2,1,0,0,2,1,1,0,8985,7354,0,0,0,179,0,1
gene1840,2,6,0,3,0,0,0,0,2,3,2,0,1,0,4,3,4,2,1,2
gene1841,0,1,1,0,0,0,0,0,0,3,75,47,758,0,0,0,22364,743,80903,29
gene1842,27876,5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1843,170,0,112,0,2,0,0,0,0,2,0,0,0,114,70,0,18,3,0,0
gene1844,1,3,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0
gene1845,3,3,1,1,0,8,3,12,3,15,2,4,1,2,3,3,10,13,0,1
gene1846,0,0,0,0,0,0,0,1,1,0,2438,0,7,0,589,0,0,0,0,0
gene1847,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,2,0,1
gene1848,0,0,0,0,1,1,1,0,0,0,12,9,7,17,3,1,0,0,0,2
gene1849,2,2,1,2,0,1,3,0,1,0,0,177785,0,26913,134782,26,0,0,4981051,0
gene1850,0,0,0,33,0,35,0,81,0,0,2747,142,0,4,0,15,126,1,1,0
gene1851,0,0,0,1222,20,362,397,546,4880,0,54,154,102,55,31,140,70,113,113,37
gene1852,0,2,27,16,1,0,0,1,3,0,0,2,1,2,3,1,2,0,0,3
gene1853,18919,1,0,771,6503,6733,0,122,197,0,2,0,1,1,0,2,1,2,0,0
gene1854,0,428,86,27,146,8,13,3,62,5,68275,0,0,0,0,0,0,124,0,0
gene1855,8,24,80,1,27,32,56,0,70,75,1,0,2,0,0,1,0,0,0,0
gene1856,0,0,0,3,0,0,20,0,4,156,0,35,45,36,7,5,37,48,12,0
gene1857,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
gene1858,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1410,4246,0,4825,117,0
gene1859,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
gene1860,0,0,1,0,1,0,4,0,0,0,179,7260,6891,25517,4378,3967,1381,8303,2,8515
gene1861,43,0,207,1,0,0,0,0,1,0,0,0,0,0,51,4,0,49244,30985,0
gene1862,0,0,3,0,2,1,0,3,8,7,0,0,0,0,0,0,0,0,0,0
gene1863,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
gene1864,2,5,1,3,2,0,3,2,3,3,267,39,466,110,790,175,63,1003,5,261
gene1865,10,1,0,9,20,8,4,0,7,0,84,44,47,43,22,52,20,53,29,5
gene1866,0,0,4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1867,0,0,0,0,0,0,0,0,0,0,4,56,4,7,7,21,19,7,6,18
gene1868,17,61,23,62,15,0,3,3,4,184,0,0,0,0,0,0,0,0,0,0
gene1869,3,6,0,1,0,0,3,0,0,0,0,33,0,0,76,18,1,425,578,56
gene1870,0,0,1,0,0,0,0,0,0,0,0,385,44851,49929,42,0,0,0,9273,0
gene1871,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1
gene1872,0,0,0,0,0,1,0,35,3,0,2910,1451,0,0,18359,294,0,1423,17163,3548
gene1873,0,0,0,0,0,0,1,0,0,0,0,2031,0,108,14,32,0,0,0,0
gene1874,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,734
gene1875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
gene1876,0,1,0,0,0,13,339,3274,5,1,0,0,0,1,0,0,1,1,1,1
gene1877,0,73,0,0,1446,0,0,0,41,0,20,420,227,0,0,197,262,0,2,18
gene1878,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,23,0,0,12
gene1879,0,2,0,1,0,2,0,0,2,1,567,1,0,0,0,529,0,36,0,183
gene1880,0,0,1,0,0,0,0,2,0,1,0,0,0,66882,0,40,9005,0,0,444381
gene1881,128,2,4,68,118,68,0,113,83,3,0,0,0,0,4,0,0,0,0,5
gene1882,0,0,14,27,3,1,0,8,254,0,129,4,25,28,2,17,112,63,0,13
gene1883,0,0,0,0,0,0,0,0,0,0,0,2832,0,6,0,0,0,3,38,3
gene1884,20,0,1,78,1,8,0,1032,0,78,0,2,0,1,0,1,0,0,1,0
gene1885,0,0,0,1,0,0,0,0,2,4,0,151,0,712,11,0,2,1,1861,1377
gene1886,0,1,0,0,0,0,0,0,0,0,1,4,2,4,0,0,0,2,1,1
gene1887,4,19,1,1,7,3,1,0,4,14,385612,935,4,0,10578,2,7901,680356,20,1579
gene1888,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,0,0
gene1889,3,2,3,0,2,0,2,0,0,0,1,7124,0,20,38,2087,25,0,91,0
gene1890,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
gene1891,0,0,0,1,0,0,0,0,0,0,0,0,36,52,0,0,19,0,14,0
gene1892,0,0,0,0,1,0,1,0,3,1,5407,0,2551,0,132,0,0,0,2960,0
gene1893,33,0,0,0,0,0,18919,186,5,6745,12443,0,0,55,1926,489,1094,13548,4,3079
gene1894,0,1,0,1,0,0,1,0,0,0,0,222,341,3,8,31,0,0,0,123
gene1895,1,0,0,305,0,0,39,66,2375,80,0,1,0,1,0,0,1,0,3,0
gene1896,30,63,0,4,18,20,5,65,17,39,0,0,3,0,903,724,637,1,5144,52
gene1897,1,0,0,2,0,1,2,1,0,1,1,4,4,1,2,2,2,3,1,2
gene1898,7,0,0,1,0,0,0,8,0,2,0,0,0,0,2,0,0,0,0,0
gene1899,1,14,0,11,31,6,3,69,38,2,0,0,0,0,0,0,0,0,0,1
gene1900,0,0,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene1901,3,43,1,43,13,0,18,65,0,0,226,1,4,1909,0,561,940,0,499,0
gene1902,0,0,0,0,0,0,1,0,1,0,0,1380,0,0,0,0,0,0,0,0
gene1903,10,90,1,402,21,39,6,118,155,0,140,7,20,0,23,2,338,277,4,1
gene1904,0,0,0,96,0,0,0,15,0,16,0,0,1,0,0,1,0,0,0,0
gene1905,0,1,1080,692,26,28,0,3,212,104,0,0,0,0,0,8,0,0,0,7
gene1906,0,3,165,0,4268,694,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1907,24,0,1,27,240,0,1,93,58,270,0,0,0,21,0,0,434,0,31,0
gene1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1909,0,0,0,4,8,2,6,2,0,0,0,397,0,916,0,0,0,0,1,1264
gene1910,1,0,1,3,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0
gene1911,131,0,0,1,5,2,54,238,52,175,0,0,0,0,0,0,0,0,0,0
gene1912,24,0,10,10,0,3,14,0,0,4,0,0,0,0,0,0,1302,0,0,0
gene1913,8273,152,3,0,2088,6,2,3166,11,739,2,15,0,775,0,0,0,40,0,0
gene1914,0,0,226,27,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0
gene1915,2,0,3,0,0,31,0,11,570,327,0,133,222,0,12,0,17,0,1067,0
gene1916,20,173,0,233,196,4,16,195,32,0,0,0,0,0,0,0,0,0,0,0
gene1917,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
gene1918,50298,0,0,324,243,0,3532,1560,0,168,0,61,0,0,0,0,0,2,3,6
gene1919,0,5,7,0,0,0,8,0,0,127,0,0,115,0,0,0,5,0,0,0
gene1920,16,2,2,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
gene1921,1,0,2,0,10,27,5,2,4,0,0,0,0,0,0,0,0,0,0,0
gene1922,0,0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
gene1923,0,1,2,1,2,0,1,1,2,1,24,84,0,3624,0,0,0,0,39,0
gene1924,0,0,0,4,323,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0
gene1925,13,0,21,0,1,7,7,5,15,0,0,3,0,0,7,1,22,0,0,0
gene1926,0,0,0,0,0,0,0,0,0,0,5,6,9,0,0,5,19,18,1,5
gene1927,0,1,1,0,0,0,0,2,2,0,2065,834,18632,0,6,0,36,802,3284,0
gene1928,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
gene1929,7,1,8,8,23,0,0,2,0,1,1,0,1,1,2,6,3,0,0,5
gene1930,6,1,4,1,13,9,6,27,73,1,0,0,2,0,0,1,0,1,0,0
gene1931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,2
gene1932,3447,21,1571,18,0,4,0,1,2374,34681,23,30,56,94,7,68,2,72,47,119
gene1933,65,95,0,0,0,1,0,4,0,9,0,0,0,0,0,1,0,1,1,0
gene1934,0,0,0,0,0,0,0,0,0,0,14,0,26,0,0,0,1,1,1,7
gene1935,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,1,0,4
gene1936,9124,294322,0,0,0,2884,0,0,2150,0,2,1,0,2,2,5,0,0,0,2
gene1937,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1938,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1939,0,0,0,0,0,224,13,0,0,0,0,1,21,0,74,0,0,0,79,177
gene1940,2,0,0,0,0,0,4,3,0,3,0,1337,0,49,0,0,0,0,0,0
gene1941,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
gene1942,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3399,0,0,0,0
gene1943,0,0,0,0,1,0,0,0,1,1,0,0,5,3599,155,2,0,16,5,2406
gene1944,3,8,1,1,2,1,1,2,10,1,0,0,0,0,0,0,0,0,0,0
gene1945,8036,0,361,650,0,0,110,78,0,13,0,130,81,0,0,1,0,0,8714,624
gene1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1947,32,48,118,49,47,9,117,28,10,148,0,0,0,0,0,0,0,1,0,0
gene1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1949,0,0,0,0,0,0,0,0,0,139,0,11,12,4,2,0,9,2,17,6
gene1950,594,0,0,0,0,3,0,24166,0,0,109,0,1879,105,0,0,0,0,0,32
gene1951,0,0,0,0,0,0,0,0,0,0,0,13,0,3,13,5,0,4,0,2
gene1952,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,21,668,26272,0,0
gene1953,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,3,8,6
gene1954,697,6,8,20,5,49,272,4,640,79,0,0,0,0,1,0,0,1,0,0
gene1955,0,0,0,2729,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gene1956,0,1,0,3,0,1,0,0,0,0,7,0,0,0,3,13,1,0,1,2
gene1957,0,0,740,266,180,4,0,7898,1,0,0,0,0,0,280,0,900,0,0,0
gene1958,9,1,0,0,7,25,13,1,0,0,0,0,49,0,38,7869,0,0,0,29785
gene1959,0,575,1180,861,1208,6,0,4,137991,0,31,4,0,62,3,6,22,15,7,12
gene1960,18,5,14,13,0,1,0,0,8,1,1,0,0,0,1,0,0,0,0,0
gene1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804,1,0,0,0,0
gene1962,18,18,20,61,2,126,0,12075,1,7784,0,0,4,6,17,2,0,1,0,27
gene1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1965,2332,1840,25,4846,61,6249,0,3163,7975,29,0,0,2,0,1,2,0,1,0,0
gene1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1967,1,139,1,0,3293,0,0,0,1265,0,0,0,0,0,0,0,0,0,0,0
gene1968,10,88,153,68,2146,0,82,8,39,72,1,0,0,0,0,0,0,0,0,0
gene1969,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1014,61,1,0,0,7
gene1970,1,1,0,2,0,0,0,0,0,0,3,0,4,2,10,13,27,4,5,5
gene1971,5,0,17,15,20,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0
gene1972,55,5,0,0,0,10,0,0,6,1,0,0,0,0,0,1,0,0,0,0
gene1973,7,3,0,15,3813,167,0,6,0,80,0,0,0,0,0,0,0,0,0,0
gene1974,29,15,0,0,0,0,62,95,16,10,0,0,0,0,1,0,0,0,0,0
gene1975,1,0,0,9660,0,185,53,0,0,639,0,0,0,0,0,0,0,0,0,0
gene1976,27,8,14,6,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
gene1977,0,14301,0,0,0,129,204,7111,0,0,35,299,174,0,0,23,0,0,3,0
gene1978,0,0,0,0,0,0,0,0,0,0,3,3,4,14,5,2,7,2,0,2
gene1979,0,0,0,0,1627,55,153,0,0,0,6,0,1,1,1,9,1,4,0,7
gene1980,0,0,0,0,3,1,1,2,1,1,0,0,0,2,0,0,0,0,1,0
gene1981,1,11,85,0,2,0,23,0,22,0,31,1,5,11,0,0,0,0,0,0
gene1982,0,264,7,0,5,0,1,0,2,34,0,0,1,0,0,0,0,1,0,0
gene1983,0,0,0,0,0,3,0,2,2,5,0,0,146,0,0,0,0,0,0,2
gene1984,0,0,2769,0,30,0,0,0,52221,0,0,2,0,0,1,0,0,0,0,1
gene1985,0,0,1,0,0,0,0,0,0,0,0,1167,85,0,0,1,42,0,0,0
gene1986,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0
gene1987,0,0,0,0,1,0,0,0,0,0,7,8,0,0,7,0,4,0,5,0
gene1988,2102,2309,0,13,61,6849,36543,5,1,8037,0,0,0,0,0,0,0,0,0,0
gene1989,0,0,0,0,0,0,0,0,0,0,5,4,1,1,1,1,0,0,2,1
gene1990,1501,0,0,453,11,0,1,28,0,0,4,0,0,0,0,1,5,0,50,2007
gene1991,62,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
gene1992,0,23,2,0,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1993,144,237,10,64,136,3,115,0,181,21,0,1,2,0,154,11,10,86,4,1
gene1994,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,2,0,9,3,9
gene1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1996,630,0,14748,0,284,8,289,0,0,7458,126,2289,202,38621,7,0,3,0,0,0
gene1997,0,0,0,1,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0
gene1998,0,0,0,0,0,0,0,0,0,0,0,11,1,1,47,6,10,166,0,35
gene1999,0,3,0,2,0,0,0,10,0,4,3152,0,0,8939,0,0,0,0,0,0
gene2000,0,0,0,0,0,6,0,56,0,0,0,0,0,0,0,0,0,0,0,0
gene2001,0,0,1,1,0,1,0,0,0,0,613,35042,0,65,0,3,8,2,22209,1176
gene2002,4,3,7,2,6,0,4,0,3,0,1,0,0,0,1,0,0,0,0,1
gene2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene2004,0,0,0,0,0,0,0,0,0,0,0,0,0,247,30089,0,0,0,0,0
